,open,high,low,close,volume,value
2025-07-01 09:00:00,145759000.0,146678000.0,144710000.0,145019000.0,915.58085007,133282503157.51079
2025-07-02 09:00:00,145019000.0,148930000.0,144265000.0,147372000.0,1356.69500727,199573364700.12863
2025-07-03 09:00:00,147372000.0,149755000.0,147364000.0,148737000.0,1182.41237517,175892089704.29065
2025-07-04 09:00:00,148737000.0,149360000.0,146929000.0,147797000.0,819.64407007,121383661832.0915
2025-07-05 09:00:00,147798000.0,148400000.0,147655000.0,148197000.0,289.92019607,42904283341.56918
2025-07-06 09:00:00,148197000.0,149100000.0,147411000.0,148500000.0,574.67732795,85118626816.14578
2025-07-07 09:00:00,148500000.0,149100000.0,147196000.0,148100000.0,832.29461691,123245812310.68657
2025-07-08 09:00:00,148100000.0,148890000.0,147100000.0,148302000.0,670.29249832,99268948588.57974
2025-07-09 09:00:00,148302000.0,151479000.0,148000000.0,150701000.0,1496.46774735,223740339731.93878
2025-07-10 09:00:00,150750000.0,156960000.0,150200000.0,156519000.0,2648.04060121,405976570945.23785
2025-07-11 09:00:00,156517000.0,160744000.0,155000000.0,158187000.0,3339.42695041,529439887430.5297
2025-07-12 09:00:00,158187000.0,159952000.0,157200000.0,159681000.0,1039.66662029,165400817234.24435
2025-07-13 09:00:00,159683000.0,161754000.0,159450000.0,161740000.0,1227.16949574,196972458867.92377
2025-07-14 09:00:00,161740000.0,166800000.0,161357000.0,163923000.0,3490.7303061,574558921263.0916
2025-07-15 09:00:00,163923000.0,164010000.0,158658000.0,160811000.0,3179.44960753,510975587943.66626
2025-07-16 09:00:00,160811000.0,163210000.0,160175000.0,161250000.0,1841.21876947,298152464479.6766
2025-07-17 09:00:00,161246000.0,163955000.0,160002000.0,162232000.0,2240.66691129,362637604713.5304
2025-07-18 09:00:00,162232000.0,164446000.0,159301000.0,161100000.0,2771.33021866,449236394018.7995
2025-07-19 09:00:00,161098000.0,162470000.0,160788000.0,161428000.0,842.3510109,136213263016.77467
2025-07-20 09:00:00,161428000.0,162000000.0,159726000.0,160072000.0,1429.7828596,230283547017.10608
2025-07-21 09:00:00,160072000.0,162300000.0,159350000.0,160096000.0,1982.32577051,318806852512.6161
2025-07-22 09:00:00,160094000.0,162990000.0,158750000.0,162321000.0,2730.46451082,439496298750.92377
2025-07-23 09:00:00,162321000.0,162848000.0,159192000.0,161990000.0,2098.23989394,338036231661.612
2025-07-24 09:00:00,162000000.0,162888000.0,159000000.0,160928000.0,2151.53591644,346133163078.732
2025-07-25 09:00:00,160938000.0,161239000.0,157746000.0,160217000.0,2661.28602167,422984662094.9873
2025-07-26 09:00:00,160225000.0,161220000.0,159600000.0,160900000.0,789.27787874,126687128917.34134
2025-07-27 09:00:00,160900000.0,162800000.0,160858000.0,162717000.0,1057.82545276,171093488765.64722
2025-07-28 09:00:00,162548000.0,162985000.0,161391000.0,162483000.0,1461.59937798,237170267365.09125
2025-07-29 09:00:00,162483000.0,163800000.0,162034000.0,163158000.0,1487.53432374,242634976840.02426
2025-07-30 09:00:00,163248000.0,163708000.0,161800000.0,163118000.0,1209.08673259,196907152981.47147
