,open,high,low,close,volume,value
2024-11-01 00:00:00,3564000.0,3595000.0,3559000.0,3581000.0,1434.70426155,5139303963.48711
2024-11-01 01:00:00,3581000.0,3582000.0,3561000.0,3567000.0,668.99277794,2388187096.82639
2024-11-01 02:00:00,3567000.0,3581000.0,3534000.0,3560000.0,1135.86493878,4037365429.93623
2024-11-01 03:00:00,3554000.0,3559000.0,3514000.0,3532000.0,975.9739912,3447899117.86456
2024-11-01 04:00:00,3532000.0,3539000.0,3510000.0,3517000.0,672.9957715,2372716651.2818
2024-11-01 05:00:00,3517000.0,3535000.0,3500000.0,3520000.0,1028.46525807,3617270841.14411
2024-11-01 06:00:00,3520000.0,3524000.0,3508000.0,3521000.0,1039.49495735,3653983998.17592
2024-11-01 07:00:00,3521000.0,3524000.0,3490000.0,3518000.0,1842.30754546,6458698753.82239
2024-11-01 08:00:00,3517000.0,3530000.0,3508000.0,3514000.0,1042.7416016,3669200514.21629
2024-11-01 09:00:00,3514000.0,3539000.0,3509000.0,3521000.0,1401.84131775,4943501561.89036
2024-11-01 10:00:00,3521000.0,3525000.0,3471000.0,3477000.0,2146.56016713,7507098036.63888
2024-11-01 11:00:00,3477000.0,3494000.0,3430000.0,3491000.0,2987.70037557,10340063386.06583
2024-11-01 12:00:00,3491000.0,3513000.0,3481000.0,3485000.0,987.75059901,3455685635.71599
2024-11-01 13:00:00,3485000.0,3507000.0,3481000.0,3500000.0,628.35551248,2193653835.00368
2024-11-01 14:00:00,3500000.0,3510000.0,3491000.0,3500000.0,493.31782263,1726456538.40302
2024-11-01 15:00:00,3501000.0,3505000.0,3482000.0,3482000.0,542.27059226,1894191848.29306
2024-11-01 16:00:00,3484000.0,3493000.0,3459000.0,3488000.0,823.88813119,2864093013.68959
2024-11-01 17:00:00,3487000.0,3501000.0,3474000.0,3480000.0,660.12831867,2303405709.38653
2024-11-01 18:00:00,3480000.0,3499000.0,3477000.0,3494000.0,400.32861158,1396082994.76972
2024-11-01 19:00:00,3493000.0,3523000.0,3491000.0,3513000.0,794.62472488,2787615754.06545
2024-11-01 20:00:00,3513000.0,3525000.0,3509000.0,3511000.0,670.88005681,2360532756.33536
2024-11-01 21:00:00,3508000.0,3549000.0,3506000.0,3545000.0,1111.65583595,3924357848.34239
2024-11-01 22:00:00,3544000.0,3590000.0,3533000.0,3590000.0,1547.53593991,5509079701.29195
2024-11-01 23:00:00,3589000.0,3604000.0,3550000.0,3566000.0,1955.98106101,7002847661.23408
2024-11-02 00:00:00,3566000.0,3570000.0,3472000.0,3495000.0,1937.57369344,6819119225.07303
2024-11-02 01:00:00,3495000.0,3543000.0,3494000.0,3517000.0,843.3535191,2966889533.11381
2024-11-02 02:00:00,3516000.0,3529000.0,3501000.0,3509000.0,292.38873405,1027172907.6184
2024-11-02 03:00:00,3509000.0,3517000.0,3500000.0,3507000.0,343.91136482,1206170321.72383
2024-11-02 04:00:00,3507000.0,3522000.0,3488000.0,3520000.0,265.9404186,932341935.47913
2024-11-02 05:00:00,3520000.0,3546000.0,3519000.0,3529000.0,205.11132579,724400409.07447
2024-11-02 06:00:00,3532000.0,3533000.0,3487000.0,3516000.0,567.63788523,1993856561.90771
2024-11-02 07:00:00,3516000.0,3526000.0,3509000.0,3523000.0,305.02395047,1072831192.51623
2024-11-02 08:00:00,3523000.0,3528000.0,3515000.0,3516000.0,320.95361593,1130033693.93747
2024-11-02 09:00:00,3516000.0,3527000.0,3509000.0,3523000.0,485.7921841,1709339535.55608
2024-11-02 10:00:00,3523000.0,3527000.0,3515000.0,3523000.0,454.67382945,1600809928.42907
2024-11-02 11:00:00,3519000.0,3535000.0,3516000.0,3517000.0,354.17094123,1248607475.84384
2024-11-02 12:00:00,3516000.0,3523000.0,3505000.0,3509000.0,398.79950511,1401788461.34935
2024-11-02 13:00:00,3509000.0,3516000.0,3505000.0,3512000.0,256.15507304,899073977.16188
2024-11-02 14:00:00,3512000.0,3525000.0,3505000.0,3525000.0,402.64749198,1414844512.31988
2024-11-02 15:00:00,3523000.0,3525000.0,3510000.0,3519000.0,353.7525081,1243311764.40564
2024-11-02 16:00:00,3518000.0,3520000.0,3510000.0,3514000.0,176.64311976,620826227.54699
2024-11-02 17:00:00,3513000.0,3519000.0,3502000.0,3503000.0,406.1635381,1424695841.90669
2024-11-02 18:00:00,3502000.0,3515000.0,3498000.0,3505000.0,383.28908868,1343500597.73089
2024-11-02 19:00:00,3504000.0,3512000.0,3498000.0,3508000.0,262.28131476,918981884.1296
2024-11-02 20:00:00,3508000.0,3512000.0,3500000.0,3504000.0,303.71453509,1064609315.02303
2024-11-02 21:00:00,3504000.0,3506000.0,3481000.0,3484000.0,804.08210275,2807518912.95296
2024-11-02 22:00:00,3485000.0,3503000.0,3460000.0,3476000.0,1097.5241807,3819689223.04838
2024-11-02 23:00:00,3476000.0,3494000.0,3473000.0,3494000.0,839.53787003,2921091824.38433
2024-11-03 00:00:00,3494000.0,3496000.0,3476000.0,3489000.0,423.5341654,1476791645.81224
2024-11-03 01:00:00,3488000.0,3501000.0,3484000.0,3498000.0,263.4986784,920662732.89769
2024-11-03 02:00:00,3497000.0,3499000.0,3480000.0,3489000.0,187.74951754,654853891.18666
2024-11-03 03:00:00,3488000.0,3499000.0,3481000.0,3494000.0,155.95750994,544304784.36576
2024-11-03 04:00:00,3494000.0,3502000.0,3490000.0,3500000.0,100.51374209,351558870.41483
2024-11-03 05:00:00,3503000.0,3504000.0,3495000.0,3500000.0,85.6285584,299614955.04219
2024-11-03 06:00:00,3501000.0,3501000.0,3493000.0,3496000.0,164.25699697,574371628.81059
2024-11-03 07:00:00,3496000.0,3503000.0,3493000.0,3497000.0,212.10925741,741656760.36775
2024-11-03 08:00:00,3495000.0,3497000.0,3482000.0,3496000.0,306.56725914,1069726936.60698
2024-11-03 09:00:00,3493000.0,3500000.0,3480000.0,3480000.0,403.85789216,1409799637.35438
